,False: dropped,ranking
mean_acc_X,True,1
mean_acc_Y,True,1
mean_acc_Z,True,1
mean_gyro_X,True,1
mean_gyro_Y,True,1
mean_gyro_Z,True,1
mean_acc_xyz,True,1
max_acc_X,True,1
max_acc_Y,False,21
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,False,7
min_acc_Z,True,1
min_gyro_X,True,1
min_gyro_Y,True,1
min_gyro_Z,True,1
min_acc_xyz,True,1
var_acc_X,False,23
var_acc_Y,True,1
var_acc_Z,True,1
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
var_acc_xyz,True,1
median_acc_X,True,1
median_acc_Y,True,1
median_acc_Z,True,1
median_gyro_X,True,1
median_gyro_Y,False,15
median_gyro_Z,True,1
median_acc_xyz,True,1
per25_acc_X,True,1
per25_acc_Y,True,1
per25_acc_Z,True,1
per25_gyro_X,True,1
per25_gyro_Y,True,1
per25_gyro_Z,True,1
per25_acc_xyz,True,1
per75_acc_X,True,1
per75_acc_Y,True,1
per75_acc_Z,True,1
per75_gyro_X,True,1
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per75_acc_xyz,True,1
per_range_acc_X,True,1
per_range_acc_Y,True,1
per_range_acc_Z,False,3
per_range_gyro_X,True,1
per_range_gyro_Y,True,1
per_range_gyro_Z,True,1
per_range_acc_xyz,True,1
RMS_acc_X,True,1
RMS_acc_Y,True,1
RMS_acc_Z,False,16
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,True,1
coef_acc_xy,True,1
coef_acc_xz,False,13
coef_acc_yz,True,1
coef_gyro_xy,True,1
coef_gyro_xz,True,1
coef_gyro_yz,True,1
PB0-5acc_X,True,1
PB5-10acc_X,True,1
PB10-15acc_X,False,32
PB15-20acc_X,False,12
PB20-25acc_X,True,1
PB25-30acc_X,False,5
PB30-35acc_X,False,45
PB35-40acc_X,False,34
PB40-45acc_X,True,1
PB45-50acc_X,False,30
PB0-5acc_Y,False,2
PB5-10acc_Y,True,1
PB10-15acc_Y,True,1
PB15-20acc_Y,False,14
PB20-25acc_Y,True,1
PB25-30acc_Y,False,42
PB30-35acc_Y,False,35
PB35-40acc_Y,False,33
PB40-45acc_Y,True,1
PB45-50acc_Y,True,1
PB0-5acc_Z,True,1
PB5-10acc_Z,True,1
PB10-15acc_Z,True,1
PB15-20acc_Z,False,27
PB20-25acc_Z,True,1
PB25-30acc_Z,False,29
PB30-35acc_Z,False,25
PB35-40acc_Z,False,24
PB40-45acc_Z,True,1
PB45-50acc_Z,False,17
PB0-5gyro_X,True,1
PB5-10gyro_X,True,1
PB10-15gyro_X,True,1
PB15-20gyro_X,True,1
PB20-25gyro_X,True,1
PB25-30gyro_X,True,1
PB30-35gyro_X,True,1
PB35-40gyro_X,False,6
PB40-45gyro_X,True,1
PB45-50gyro_X,True,1
PB0-5gyro_Y,False,22
PB5-10gyro_Y,True,1
PB10-15gyro_Y,True,1
PB15-20gyro_Y,False,4
PB20-25gyro_Y,True,1
PB25-30gyro_Y,False,36
PB30-35gyro_Y,False,8
PB35-40gyro_Y,True,1
PB40-45gyro_Y,True,1
PB45-50gyro_Y,False,18
PB0-5gyro_Z,True,1
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,True,1
PB25-30gyro_Z,True,1
PB30-35gyro_Z,True,1
PB35-40gyro_Z,True,1
PB40-45gyro_Z,True,1
PB45-50gyro_Z,True,1
PB0-5acc_xyz,True,1
PB5-10acc_xyz,False,37
PB10-15acc_xyz,False,19
PB15-20acc_xyz,False,40
PB20-25acc_xyz,False,26
PB25-30acc_xyz,False,43
PB30-35acc_xyz,False,41
PB35-40acc_xyz,False,44
PB40-45acc_xyz,False,38
PB45-50acc_xyz,False,39
FE_acc_X,False,31
FE_acc_Y,False,11
FE_acc_Z,False,28
FE_gyro_X,True,1
FE_gyro_Y,False,20
FE_gyro_Z,False,9
FE_acc_xyz,False,10
En_acc_X,True,1
En_acc_Y,True,1
En_acc_Z,True,1
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,True,1
