,False: dropped,ranking
mean_acc_X,False,87
mean_acc_Y,False,137
mean_acc_Z,False,114
mean_gyro_X,False,80
mean_gyro_Y,False,20
mean_gyro_Z,False,6
mean_acc_xyz,False,73
max_acc_X,False,23
max_acc_Y,False,67
max_acc_Z,False,45
max_gyro_X,False,4
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,False,58
min_acc_X,False,111
min_acc_Y,False,48
min_acc_Z,False,94
min_gyro_X,False,32
min_gyro_Y,False,41
min_gyro_Z,False,5
min_acc_xyz,False,39
var_acc_X,False,63
var_acc_Y,False,52
var_acc_Z,False,18
var_gyro_X,True,1
var_gyro_Y,False,21
var_gyro_Z,True,1
var_acc_xyz,False,105
median_acc_X,False,123
median_acc_Y,False,140
median_acc_Z,False,84
median_gyro_X,False,34
median_gyro_Y,False,30
median_gyro_Z,False,2
median_acc_xyz,False,145
per25_acc_X,False,127
per25_acc_Y,False,90
per25_acc_Z,False,142
per25_gyro_X,False,19
per25_gyro_Y,False,76
per25_gyro_Z,False,9
per25_acc_xyz,False,17
per75_acc_X,False,59
per75_acc_Y,False,112
per75_acc_Z,False,28
per75_gyro_X,False,66
per75_gyro_Y,False,24
per75_gyro_Z,True,1
per75_acc_xyz,False,88
per_range_acc_X,False,27
per_range_acc_Y,False,74
per_range_acc_Z,False,54
per_range_gyro_X,True,1
per_range_gyro_Y,False,10
per_range_gyro_Z,False,3
per_range_acc_xyz,False,91
RMS_acc_X,False,144
RMS_acc_Y,False,98
RMS_acc_Z,False,107
RMS_gyro_X,False,11
RMS_gyro_Y,True,1
RMS_gyro_Z,False,8
RMS_acc_xyz,False,50
PB0-5acc_X,False,139
PB5-10acc_X,False,14
PB10-15acc_X,False,86
PB15-20acc_X,False,106
PB20-25acc_X,False,83
PB25-30acc_X,False,113
PB30-35acc_X,False,131
PB35-40acc_X,False,81
PB40-45acc_X,False,133
PB45-50acc_X,False,99
PB0-5acc_Y,False,53
PB5-10acc_Y,False,42
PB10-15acc_Y,False,92
PB15-20acc_Y,False,109
PB20-25acc_Y,False,38
PB25-30acc_Y,False,69
PB30-35acc_Y,False,134
PB35-40acc_Y,False,110
PB40-45acc_Y,False,78
PB45-50acc_Y,False,70
PB0-5acc_Z,False,118
PB5-10acc_Z,False,37
PB10-15acc_Z,False,97
PB15-20acc_Z,False,65
PB20-25acc_Z,False,72
PB25-30acc_Z,False,120
PB30-35acc_Z,False,57
PB35-40acc_Z,False,129
PB40-45acc_Z,False,55
PB45-50acc_Z,False,104
PB0-5gyro_X,False,68
PB5-10gyro_X,True,1
PB10-15gyro_X,False,141
PB15-20gyro_X,False,75
PB20-25gyro_X,False,100
PB25-30gyro_X,False,128
PB30-35gyro_X,False,71
PB35-40gyro_X,False,82
PB40-45gyro_X,False,43
PB45-50gyro_X,False,35
PB0-5gyro_Y,False,60
PB5-10gyro_Y,False,40
PB10-15gyro_Y,False,102
PB15-20gyro_Y,False,125
PB20-25gyro_Y,False,44
PB25-30gyro_Y,False,122
PB30-35gyro_Y,False,101
PB35-40gyro_Y,False,143
PB40-45gyro_Y,False,79
PB45-50gyro_Y,False,64
PB0-5gyro_Z,False,49
PB5-10gyro_Z,False,7
PB10-15gyro_Z,False,16
PB15-20gyro_Z,False,56
PB20-25gyro_Z,False,25
PB25-30gyro_Z,False,31
PB30-35gyro_Z,False,47
PB35-40gyro_Z,False,93
PB40-45gyro_Z,False,77
PB45-50gyro_Z,False,62
PB0-5acc_xyz,False,124
PB5-10acc_xyz,False,115
PB10-15acc_xyz,False,136
PB15-20acc_xyz,False,132
PB20-25acc_xyz,False,121
PB25-30acc_xyz,False,96
PB30-35acc_xyz,False,126
PB35-40acc_xyz,False,135
PB40-45acc_xyz,False,117
PB45-50acc_xyz,False,46
FE_acc_X,False,108
FE_acc_Y,False,103
FE_acc_Z,False,22
FE_gyro_X,False,13
FE_gyro_Y,False,33
FE_gyro_Z,False,29
FE_acc_xyz,False,116
En_acc_X,False,12
En_acc_Y,False,15
En_acc_Z,False,51
En_gyro_X,True,1
En_gyro_Y,False,26
En_gyro_Z,True,1
En_acc_xyz,False,61
DC_acc_X,False,85
DC_acc_Y,False,119
DC_acc_Z,False,138
DC_gyro_X,False,89
DC_gyro_Y,False,95
DC_gyro_Z,False,36
DC_acc_xyz,False,130
