,False: dropped,ranking
mean_gyro_X,True,1
mean_gyro_Y,True,1
mean_gyro_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
min_gyro_X,True,1
min_gyro_Y,True,1
min_gyro_Z,True,1
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
median_gyro_X,True,1
median_gyro_Y,False,8
median_gyro_Z,True,1
per25_gyro_X,True,1
per25_gyro_Y,True,1
per25_gyro_Z,True,1
per75_gyro_X,True,1
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per_range_gyro_X,True,1
per_range_gyro_Y,True,1
per_range_gyro_Z,True,1
RMS_gyro_X,True,1
RMS_gyro_Y,False,3
RMS_gyro_Z,True,1
coef_gyro_xy,True,1
coef_gyro_xz,True,1
coef_gyro_yz,True,1
PB0-5gyro_X,False,5
PB5-10gyro_X,True,1
PB10-15gyro_X,True,1
PB15-20gyro_X,True,1
PB20-25gyro_X,True,1
PB25-30gyro_X,False,14
PB30-35gyro_X,True,1
PB35-40gyro_X,False,9
PB40-45gyro_X,True,1
PB45-50gyro_X,True,1
PB0-5gyro_Y,False,15
PB5-10gyro_Y,True,1
PB10-15gyro_Y,True,1
PB15-20gyro_Y,False,6
PB20-25gyro_Y,True,1
PB25-30gyro_Y,False,11
PB30-35gyro_Y,False,10
PB35-40gyro_Y,True,1
PB40-45gyro_Y,True,1
PB45-50gyro_Y,False,13
PB0-5gyro_Z,True,1
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,True,1
PB25-30gyro_Z,False,2
PB30-35gyro_Z,True,1
PB35-40gyro_Z,False,4
PB40-45gyro_Z,True,1
PB45-50gyro_Z,True,1
FE_gyro_X,True,1
FE_gyro_Y,False,12
FE_gyro_Z,False,7
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
