,False: dropped,ranking
mean_acc_X,True,1
mean_acc_Y,True,1
mean_acc_Z,True,1
mean_gyro_X,True,1
mean_gyro_Y,True,1
mean_gyro_Z,True,1
mean_acc_xyz,True,1
max_acc_X,True,1
max_acc_Y,True,1
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,True,1
min_acc_X,True,1
min_acc_Y,False,16
min_acc_Z,True,1
min_gyro_X,True,1
min_gyro_Y,True,1
min_gyro_Z,True,1
min_acc_xyz,True,1
var_acc_X,False,7
var_acc_Y,True,1
var_acc_Z,True,1
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
var_acc_xyz,True,1
median_acc_X,True,1
median_acc_Y,True,1
median_acc_Z,True,1
median_gyro_X,True,1
median_gyro_Y,True,1
median_gyro_Z,True,1
median_acc_xyz,True,1
per25_acc_X,True,1
per25_acc_Y,True,1
per25_acc_Z,True,1
per25_gyro_X,True,1
per25_gyro_Y,True,1
per25_gyro_Z,True,1
per25_acc_xyz,True,1
per75_acc_X,True,1
per75_acc_Y,True,1
per75_acc_Z,True,1
per75_gyro_X,True,1
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per75_acc_xyz,True,1
per_range_acc_X,True,1
per_range_acc_Y,False,13
per_range_acc_Z,False,18
per_range_gyro_X,True,1
per_range_gyro_Y,True,1
per_range_gyro_Z,True,1
per_range_acc_xyz,False,6
RMS_acc_X,True,1
RMS_acc_Y,False,3
RMS_acc_Z,True,1
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,True,1
coef_acc_xy,True,1
coef_acc_xz,False,17
coef_acc_yz,True,1
coef_gyro_xy,True,1
coef_gyro_xz,True,1
coef_gyro_yz,True,1
PB0-5acc_X,True,1
PB5-10acc_X,True,1
PB10-15acc_X,True,1
PB15-20acc_X,False,10
PB20-25acc_X,True,1
PB25-30acc_X,False,30
PB30-35acc_X,False,38
PB35-40acc_X,False,2
PB40-45acc_X,True,1
PB45-50acc_X,False,35
PB0-5acc_Y,False,8
PB5-10acc_Y,True,1
PB10-15acc_Y,True,1
PB15-20acc_Y,False,4
PB20-25acc_Y,True,1
PB25-30acc_Y,False,21
PB30-35acc_Y,False,24
PB35-40acc_Y,False,41
PB40-45acc_Y,True,1
PB45-50acc_Y,False,29
PB0-5acc_Z,True,1
PB5-10acc_Z,False,5
PB10-15acc_Z,True,1
PB15-20acc_Z,False,28
PB20-25acc_Z,True,1
PB25-30acc_Z,False,19
PB30-35acc_Z,False,15
PB35-40acc_Z,False,31
PB40-45acc_Z,True,1
PB45-50acc_Z,False,26
PB0-5gyro_X,False,22
PB5-10gyro_X,True,1
PB10-15gyro_X,True,1
PB15-20gyro_X,True,1
PB20-25gyro_X,True,1
PB25-30gyro_X,True,1
PB30-35gyro_X,True,1
PB35-40gyro_X,True,1
PB40-45gyro_X,True,1
PB45-50gyro_X,True,1
PB0-5gyro_Y,False,20
PB5-10gyro_Y,True,1
PB10-15gyro_Y,True,1
PB15-20gyro_Y,True,1
PB20-25gyro_Y,True,1
PB25-30gyro_Y,False,9
PB30-35gyro_Y,True,1
PB35-40gyro_Y,True,1
PB40-45gyro_Y,True,1
PB45-50gyro_Y,True,1
PB0-5gyro_Z,True,1
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,True,1
PB25-30gyro_Z,True,1
PB30-35gyro_Z,True,1
PB35-40gyro_Z,True,1
PB40-45gyro_Z,True,1
PB45-50gyro_Z,True,1
PB0-5acc_xyz,True,1
PB5-10acc_xyz,False,37
PB10-15acc_xyz,False,11
PB15-20acc_xyz,False,42
PB20-25acc_xyz,False,39
PB25-30acc_xyz,False,34
PB30-35acc_xyz,False,43
PB35-40acc_xyz,False,44
PB40-45acc_xyz,False,36
PB45-50acc_xyz,False,40
FE_acc_X,True,1
FE_acc_Y,False,14
FE_acc_Z,False,23
FE_gyro_X,True,1
FE_gyro_Y,False,12
FE_gyro_Z,False,32
FE_acc_xyz,False,27
En_acc_X,True,1
En_acc_Y,True,1
En_acc_Z,True,1
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,True,1
DC_acc_X,True,1
DC_acc_Y,True,1
DC_acc_Z,False,25
DC_gyro_X,True,1
DC_gyro_Y,False,33
DC_gyro_Z,True,1
DC_acc_xyz,True,1
