,False: dropped,ranking
mean_acc_X,False,102
mean_acc_Y,False,109
mean_acc_Z,False,104
mean_gyro_X,False,27
mean_gyro_Y,True,1
mean_gyro_Z,True,1
mean_acc_xyz,False,80
max_acc_X,True,1
max_acc_Y,False,86
max_acc_Z,True,1
max_gyro_X,True,1
max_gyro_Y,True,1
max_gyro_Z,True,1
max_acc_xyz,False,4
min_acc_X,False,94
min_acc_Y,False,24
min_acc_Z,False,98
min_gyro_X,False,48
min_gyro_Y,False,39
min_gyro_Z,True,1
min_acc_xyz,True,1
var_acc_X,True,1
var_acc_Y,False,49
var_acc_Z,False,28
var_gyro_X,True,1
var_gyro_Y,True,1
var_gyro_Z,True,1
var_acc_xyz,False,21
median_acc_X,False,87
median_acc_Y,False,110
median_acc_Z,False,76
median_gyro_X,True,1
median_gyro_Y,False,15
median_gyro_Z,True,1
median_acc_xyz,False,36
per25_acc_X,False,90
per25_acc_Y,False,60
per25_acc_Z,False,91
per25_gyro_X,False,7
per25_gyro_Y,False,53
per25_gyro_Z,True,1
per25_acc_xyz,False,37
per75_acc_X,False,54
per75_acc_Y,False,101
per75_acc_Z,False,67
per75_gyro_X,False,42
per75_gyro_Y,True,1
per75_gyro_Z,True,1
per75_acc_xyz,False,30
per_range_acc_X,False,2
per_range_acc_Y,False,43
per_range_acc_Z,False,32
per_range_gyro_X,True,1
per_range_gyro_Y,False,22
per_range_gyro_Z,True,1
per_range_acc_xyz,False,68
RMS_acc_X,False,74
RMS_acc_Y,False,65
RMS_acc_Z,False,55
RMS_gyro_X,True,1
RMS_gyro_Y,True,1
RMS_gyro_Z,True,1
RMS_acc_xyz,False,63
coef_acc_xy,False,35
coef_acc_xz,True,1
coef_acc_yz,False,23
coef_gyro_xy,True,1
coef_gyro_xz,False,16
coef_gyro_yz,True,1
PB0-5acc_X,False,97
PB5-10acc_X,True,1
PB10-15acc_X,False,33
PB15-20acc_X,False,79
PB20-25acc_X,False,44
PB25-30acc_X,False,72
PB30-35acc_X,False,99
PB35-40acc_X,False,52
PB40-45acc_X,False,56
PB45-50acc_X,False,57
PB0-5acc_Y,False,103
PB5-10acc_Y,False,41
PB10-15acc_Y,False,77
PB15-20acc_Y,False,62
PB20-25acc_Y,False,13
PB25-30acc_Y,False,5
PB30-35acc_Y,False,105
PB35-40acc_Y,False,70
PB40-45acc_Y,False,29
PB45-50acc_Y,True,1
PB0-5acc_Z,False,19
PB5-10acc_Z,True,1
PB10-15acc_Z,False,81
PB15-20acc_Z,False,92
PB20-25acc_Z,False,85
PB25-30acc_Z,False,6
PB30-35acc_Z,False,107
PB35-40acc_Z,False,82
PB40-45acc_Z,False,111
PB45-50acc_Z,False,45
PB0-5gyro_X,False,64
PB5-10gyro_X,False,9
PB10-15gyro_X,True,1
PB15-20gyro_X,False,25
PB20-25gyro_X,False,78
PB25-30gyro_X,False,8
PB30-35gyro_X,True,1
PB35-40gyro_X,False,51
PB40-45gyro_X,False,61
PB45-50gyro_X,False,34
PB0-5gyro_Y,False,40
PB5-10gyro_Y,False,18
PB10-15gyro_Y,False,100
PB15-20gyro_Y,False,59
PB20-25gyro_Y,False,84
PB25-30gyro_Y,False,50
PB30-35gyro_Y,False,47
PB35-40gyro_Y,False,58
PB40-45gyro_Y,False,31
PB45-50gyro_Y,False,75
PB0-5gyro_Z,False,3
PB5-10gyro_Z,True,1
PB10-15gyro_Z,True,1
PB15-20gyro_Z,True,1
PB20-25gyro_Z,False,12
PB25-30gyro_Z,False,10
PB30-35gyro_Z,True,1
PB35-40gyro_Z,False,20
PB40-45gyro_Z,False,38
PB45-50gyro_Z,True,1
PB0-5acc_xyz,False,46
PB5-10acc_xyz,False,71
PB10-15acc_xyz,False,95
PB15-20acc_xyz,False,73
PB20-25acc_xyz,False,96
PB25-30acc_xyz,False,93
PB30-35acc_xyz,False,88
PB35-40acc_xyz,False,106
PB40-45acc_xyz,False,108
PB45-50acc_xyz,False,26
FE_acc_X,False,66
FE_acc_Y,True,1
FE_acc_Z,False,11
FE_gyro_X,True,1
FE_gyro_Y,False,17
FE_gyro_Z,True,1
FE_acc_xyz,False,83
En_acc_X,True,1
En_acc_Y,False,69
En_acc_Z,False,89
En_gyro_X,True,1
En_gyro_Y,True,1
En_gyro_Z,True,1
En_acc_xyz,False,14
